Source,Call
profiler.profile_dataset,profiler.self.df.duplicated
profiler.profile_dataset,profiler.StringProfiler
profiler.profile_dataset,profiler.string_profiler.profile
profiler.profile_dataset,profiler.StringProfiler
profiler.profile_dataset,profiler.string_profiler.profile_phone_numbers
profiler.profile_dataset,profiler.self.df.isnull
profiler.profile_dataset,profiler.NumericProfiler
profiler.profile_dataset,profiler.numeric_profiler.profile
profiler.profile_dataset,profiler.print
profiler.generate_report,profiler.self._generate_markdown_report
profiler.generate_report,profiler.self._generate_html_report
profiler.generate_report,profiler.self._generate_csv_report
profiler.generate_report,profiler.ValueError
profiler.generate_report,profiler.format
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.self.results.get
profiler._generate_markdown_report,profiler.metadata.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.self.results.get
profiler._generate_markdown_report,profiler.temporal_analyses.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.self.results.get
profiler._generate_markdown_report,profiler.numeric_profiles.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.self.results.get
profiler._generate_markdown_report,profiler.string_profiles.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,profiler.join
profiler._generate_markdown_report,os.path.join
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,profiler.analysis.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.stats.items
profiler._generate_markdown_report,profiler.toc.append
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,re.sub
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.special_chars.items
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.self.df.head.to_markdown
profiler._generate_markdown_report,profiler.self.df.tail.to_markdown
profiler._generate_markdown_report,profiler.self.df.sample.to_markdown
profiler._generate_markdown_report,profiler.open
profiler._generate_markdown_report,profiler.file.write
profiler._generate_markdown_report,profiler.file.close
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.len
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.lengths.get
profiler._generate_markdown_report,profiler.lengths.get
profiler._generate_markdown_report,profiler.lengths.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.self.df.head
profiler._generate_markdown_report,profiler.self.df.tail
profiler._generate_markdown_report,profiler.self.df.sample
profiler._generate_markdown_report,profiler.profile.get
profiler._generate_markdown_report,profiler.char_type.capitalize
profiler._generate_markdown_report,profiler.item.lower.replace
profiler._generate_markdown_report,profiler.item.lower
profiler.append_markdown_section,profiler.open
profiler.append_markdown_section,profiler.file.write
profiler.append_markdown_section,profiler.file.write
profiler_update.__init__,profiler_update.self._preprocess_data
profiler_update.__init__,profiler_update.str
profiler_update._preprocess_data,profiler_update.self.custom_types.items
profiler_update._preprocess_data,profiler_update.apply
profiler_update._preprocess_data,profiler_update.astype
profiler_update._preprocess_data,profiler_update.self.convert_unix_timestamps
profiler_update._preprocess_data,pandas.to_datetime
profiler_update.convert_unix_timestamps,pandas.to_datetime
profiler_update.convert_unix_timestamps,profiler_update.print
profiler_update.convert_unix_timestamps,profiler_update.print
profiler_update.profile_column_as_string,profiler_update.self._identify_invalid_patterns_regex
profiler_update.profile_column_as_string,profiler_update.self._count_special_characters
profiler_update.profile_column_as_string,scipy.stats.entropy
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts
profiler_update.profile_column_as_string,profiler_update.col_data.nunique
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts.head.to_dict
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts.tail.to_dict
profiler_update.profile_column_as_string,profiler_update.col_data.duplicated.sum
profiler_update.profile_column_as_string,profiler_update.col_data.str.isupper.sum
profiler_update.profile_column_as_string,profiler_update.col_data.str.islower.sum
profiler_update.profile_column_as_string,profiler_update.col_data.str.len.min
profiler_update.profile_column_as_string,profiler_update.col_data.str.len.max
profiler_update.profile_column_as_string,profiler_update.col_data.str.len.mean
profiler_update.profile_column_as_string,profiler_update.col_data.isna.sum
profiler_update.profile_column_as_string,profiler_update.col_data.str.strip.isin.sum
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts.head
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts.tail
profiler_update.profile_column_as_string,profiler_update.col_data.duplicated
profiler_update.profile_column_as_string,profiler_update.col_data.str.isupper
profiler_update.profile_column_as_string,profiler_update.col_data.str.islower
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts.head
profiler_update.profile_column_as_string,profiler_update.col_data.str.len
profiler_update.profile_column_as_string,profiler_update.col_data.str.len
profiler_update.profile_column_as_string,profiler_update.col_data.str.len
profiler_update.profile_column_as_string,profiler_update.col_data.isna
profiler_update.profile_column_as_string,profiler_update.col_data.str.strip.isin
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts
profiler_update.profile_column_as_string,profiler_update.col_data.value_counts
profiler_update.profile_column_as_string,profiler_update.col_data.str.strip
profiler_update._count_special_characters,profiler_update.col_data.str.count.sum
profiler_update._count_special_characters,profiler_update.col_data.str.count.sum
profiler_update._count_special_characters,profiler_update.col_data.str.count
profiler_update._count_special_characters,profiler_update.col_data.str.count
profiler_update.profile_column_as_numeric,profiler_update.col_data.describe.to_dict
profiler_update.profile_column_as_numeric,profiler_update.self.detect_outliers
profiler_update.profile_column_as_numeric,profiler_update.col_data.skew
profiler_update.profile_column_as_numeric,profiler_update.col_data.kurt
profiler_update.profile_column_as_numeric,profiler_update.col_data.value_counts.head.round.to_dict
profiler_update.profile_column_as_numeric,profiler_update.col_data.value_counts.tail.round.to_dict
profiler_update.profile_column_as_numeric,profiler_update.outliers.tolist
profiler_update.profile_column_as_numeric,profiler_update.col_data.describe
profiler_update.profile_column_as_numeric,profiler_update.col_data.value_counts.head.round
